id,edad_avl,edad_btree,nombre_completo,ciudad,profesion,telefono,email,salario,fecha_nacimiento,codigo_postal,puntuacion,estado_civil,nivel_educacion
SB4B6,43,42,Elena Álvarez,Bilbao,Médico,650768159,elena.álvarez@yahoo.es,48361,1960-10-03,37114,2.61,Viudo,Primaria
HMYQY,67,67,Rosa Serrano,Gijón,Conductor,643761319,rosa.serrano@outlook.com,48381,2003-01-09,69154,1.18,Divorciado,Secundaria
L3EOG,18,19,Lucía Martínez,Bilbao,Veterinario,697820224,lucía.martínez@hotmail.com,32277,1994-05-02,15332,3.98,Soltero,Universidad
VEQWB,38,38,Ángeles Ramírez,Valladolid,Chef,672868297,ángeles.ramírez@empresa.com,46360,1959-12-25,65027,4.21,Casado,Secundaria
FQHFA,67,68,Teresa Ramos,Vitoria,Arquitecto,692561217,teresa.ramos@gmail.com,43136,1976-07-04,99492,4.0,Viudo,Secundaria
I0W01,62,61,Luis Molina,Gijón,Secretario,612778674,luis.molina@hotmail.com,35127,1954-05-28,41532,9.55,Viudo,Primaria
RKFPY,52,51,María Domínguez,Alicante,Periodista,668875850,maría.domínguez@empresa.com,51241,1998-02-23,35778,4.38,Soltero,Secundaria
KH2IQ,42,42,Pedro González,Oviedo,Periodista,620227138,pedro.gonzález@yahoo.es,57194,1987-07-25,23442,1.81,Soltero,Universidad
TZ8ST,32,32,Isabel Suárez,Palma,Abogado,687214460,isabel.suárez@yahoo.es,47651,1960-01-03,17332,6.26,Divorciado,Universidad
8CEXV,37,38,Pedro Jiménez,Oviedo,Chef,611196018,pedro.jiménez@empresa.com,58658,1990-04-15,39175,3.03,Soltero,Universidad
CT5C9,39,40,Francisco Delgado,Hospitalet,Artista,628084417,francisco.delgado@empresa.com,41559,2004-07-07,43547,2.62,Soltero,Primaria
TX809,34,34,Carmen Suárez,Terrassa,Ingeniero,632203517,carmen.suárez@yahoo.es,43821,1991-11-06,49642,3.88,Soltero,Primaria
824PE,74,75,Jesús Alonso,Sevilla,Abogado,697243255,jesús.alonso@gmail.com,35721,1958-04-14,95416,6.47,Viudo,Universidad
NW5MJ,24,26,Miguel Rodríguez,Bilbao,Plomero,661322191,miguel.rodríguez@yahoo.es,35109,1961-04-27,70923,9.72,Casado,Secundaria
CNW0J,70,72,Ramón Vázquez,Vitoria,Arquitecto,610784221,ramón.vázquez@yahoo.es,50432,1982-02-20,44439,9.79,Soltero,Universidad
6BCVV,24,26,Francisca Navarro,Vitoria,Vendedor,668643795,francisca.navarro@empresa.com,27556,2002-02-16,25244,8.84,Soltero,Universidad
72LZW,31,29,Pilar Martínez,Zaragoza,Profesor,687257290,pilar.martínez@hotmail.com,47520,1975-11-10,27530,6.39,Viudo,Primaria
D3LZN,73,71,Antonio Suárez,Valencia,Médico,677690001,antonio.suárez@outlook.com,48928,1951-09-03,95510,7.36,Casado,Primaria
6ESJ0,61,60,Josefa Serrano,Oviedo,Psicólogo,673240576,josefa.serrano@gmail.com,38164,1974-05-18,39689,8.08,Soltero,Primaria
IBJL6,35,33,Mercedes Ramírez,Barcelona,Vendedor,644617590,mercedes.ramírez@yahoo.es,57791,1957-11-22,47675,4.55,Viudo,Universidad
AJ4SR,37,37,Carmen González,Cartagena,Enfermero,679391907,carmen.gonzález@outlook.com,48574,1972-10-19,87551,7.21,Viudo,Primaria
AQKTN,22,24,Isabel Martínez,Murcia,Enfermero,689159041,isabel.martínez@gmail.com,26284,1953-11-04,68715,2.0,Viudo,Primaria
4KR1J,26,25,Daniel Hernández,Sevilla,Veterinario,612634728,daniel.hernández@outlook.com,36972,2004-05-11,19686,7.29,Casado,Secundaria
QLJMF,70,70,Vicente Gómez,Córdoba,Médico,621790244,vicente.gómez@hotmail.com,42838,1970-11-11,72696,7.43,Divorciado,Posgrado
2K0KY,26,25,David López,Vigo,Plomero,611949057,david.lópez@yahoo.es,47666,1999-07-02,20902,7.05,Viudo,Secundaria
T0CFL,54,56,Luis Moreno,Málaga,Conductor,677693145,luis.moreno@outlook.com,46991,1997-01-21,24885,1.81,Casado,Primaria
GN4M2,35,33,Rafael Díaz,Coruña,Psicólogo,643048320,rafael.díaz@empresa.com,44328,1975-06-02,62329,4.8,Casado,Posgrado
ZH8RA,35,36,María Fernández,Jerez,Abogado,673698754,maría.fernández@empresa.com,52900,1965-12-04,58814,9.14,Divorciado,Secundaria
M3LUW,68,70,Daniel Álvarez,Palma,Enfermero,617245194,daniel.álvarez@gmail.com,35456,1971-02-05,50266,3.65,Soltero,Primaria
T0DCA,50,52,Jorge Díaz,Granada,Deportista,618586406,jorge.díaz@outlook.com,47646,1991-02-10,52755,2.76,Viudo,Universidad
Z2Y9Q,71,73,Ramón Moreno,Granada,Veterinario,672393067,ramón.moreno@hotmail.com,49323,1987-01-26,76677,9.45,Casado,Secundaria
DUOGL,79,77,Rafael Suárez,Murcia,Mecánico,675346686,rafael.suárez@empresa.com,47712,1976-07-20,16101,8.32,Divorciado,Posgrado
FS870,80,78,Miguel Alonso,Palma,Enfermero,643623992,miguel.alonso@hotmail.com,43998,1976-09-13,70281,10.0,Soltero,Primaria
BOI21,67,68,María González,Oviedo,Músico,674845784,maría.gonzález@outlook.com,51012,1974-09-25,23733,1.98,Soltero,Primaria
9PHP7,69,70,Francisca Moreno,Málaga,Plomero,647304182,francisca.moreno@hotmail.com,35917,1997-06-07,25376,7.57,Soltero,Primaria
8KXIN,78,80,Esperanza Romero,Málaga,Farmacéutico,612820458,esperanza.romero@empresa.com,38777,1998-12-30,98053,7.69,Divorciado,Universidad
7ERWM,22,20,Vicente Molina,Málaga,Conductor,681317891,vicente.molina@empresa.com,30019,1966-12-31,50581,9.59,Divorciado,Posgrado
QVGI7,48,50,Ángeles Fernández,Terrassa,Vendedor,618323635,ángeles.fernández@empresa.com,58290,1979-05-05,95470,1.48,Soltero,Secundaria
O7TYU,22,23,Laura Molina,Granada,Mecánico,645070175,laura.molina@outlook.com,26022,1974-10-14,65667,4.86,Casado,Posgrado
19F7A,75,73,Esperanza Serrano,Oviedo,Plomero,617499548,esperanza.serrano@hotmail.com,41451,1950-05-27,52012,3.37,Divorciado,Posgrado
CX38T,45,45,Jesús Delgado,Sevilla,Conductor,670262373,jesús.delgado@yahoo.es,46620,1972-11-20,29211,6.58,Divorciado,Universidad
94PW8,58,56,María Alonso,Valladolid,Plomero,637966454,maría.alonso@yahoo.es,42196,2000-02-07,10179,7.47,Viudo,Primaria
6NOJ9,40,39,Laura Serrano,Madrid,Vendedor,615842197,laura.serrano@empresa.com,48676,1995-01-13,58694,5.4,Viudo,Secundaria
R95BJ,40,41,David López,Sevilla,Farmacéutico,670093396,david.lópez@hotmail.com,45746,1999-09-05,52346,1.16,Soltero,Primaria
VD34W,32,32,Rosa Rodríguez,Córdoba,Electricista,669872075,rosa.rodríguez@empresa.com,41296,1968-02-27,45494,1.55,Viudo,Universidad
P325T,61,63,Francisco Fernández,Alicante,Abogado,618188969,francisco.fernández@hotmail.com,52715,1985-09-24,18848,2.05,Casado,Secundaria
IDR4B,67,69,Vicente Gil,Sevilla,Plomero,697724444,vicente.gil@outlook.com,46386,1957-08-18,80241,6.76,Divorciado,Posgrado
Z93Q0,24,26,Jorge Martín,Vitoria,Conductor,657581888,jorge.martín@empresa.com,36538,1970-05-28,12000,6.67,Casado,Secundaria
YP5R4,56,57,Pedro González,Murcia,Programador,634984833,pedro.gonzález@gmail.com,39965,1971-12-27,67352,8.72,Casado,Primaria
Y1EYL,21,22,Antonia Hernández,Valencia,Veterinario,631978347,antonia.hernández@empresa.com,32354,1999-07-27,43772,3.28,Divorciado,Universidad
6WPO5,45,44,Laura Díaz,Vitoria,Secretario,648138622,laura.díaz@gmail.com,54059,1995-02-06,58222,5.82,Soltero,Universidad
QQW4N,68,66,Manuel López,Sevilla,Electricista,652373185,manuel.lópez@empresa.com,53169,1990-04-08,80093,1.89,Casado,Secundaria
O3JGN,75,74,Ángel Álvarez,Barcelona,Periodista,674227761,ángel.álvarez@yahoo.es,45387,1996-04-03,49965,6.22,Soltero,Secundaria
YFA9A,30,29,Jorge Martínez,Alicante,Deportista,664276082,jorge.martínez@yahoo.es,33063,1960-01-28,14356,9.77,Soltero,Secundaria
EH4OG,35,37,Francisca González,Vitoria,Profesor,698858587,francisca.gonzález@outlook.com,51162,1963-10-31,12229,4.35,Casado,Primaria
04JFK,37,38,Vicente Molina,Jerez,Deportista,625304556,vicente.molina@empresa.com,43717,1997-07-15,17060,4.04,Divorciado,Secundaria
KC00F,71,71,Luis Díaz,Jerez,Farmacéutico,665852162,luis.díaz@gmail.com,52665,1977-04-05,79329,7.74,Casado,Primaria
I5FMB,68,66,Carmen García,Valencia,Chef,651055852,carmen.garcía@empresa.com,44089,1984-03-31,59036,4.78,Casado,Secundaria
EHRGG,38,36,Francisco Torres,Madrid,Contador,650693633,francisco.torres@outlook.com,40990,1962-03-29,27116,1.75,Divorciado,Universidad
HDNQB,57,57,Jorge Rodríguez,Palma,Deportista,634973462,jorge.rodríguez@empresa.com,50655,1987-09-30,53129,8.15,Viudo,Secundaria
5QSJP,79,77,David Martínez,Terrassa,Vendedor,652697749,david.martínez@hotmail.com,42866,1967-06-01,83687,5.07,Viudo,Posgrado
M2XVG,28,27,Manuel Fernández,Barcelona,Abogado,689179383,manuel.fernández@hotmail.com,37801,1992-02-27,72897,1.3,Viudo,Posgrado
DEZ96,77,75,Pilar Jiménez,Palma,Médico,676201888,pilar.jiménez@yahoo.es,41724,1987-05-21,73665,5.35,Divorciado,Universidad
UV3BH,66,67,Jesús Álvarez,Elche,Dentista,624940948,jesús.álvarez@hotmail.com,50262,2004-09-25,17232,6.44,Soltero,Primaria
IKKOA,68,66,María Martín,Valladolid,Músico,678926429,maría.martín@yahoo.es,41261,1986-04-13,77243,2.57,Divorciado,Universidad
J10OC,76,77,Mercedes Fernández,Málaga,Programador,687827929,mercedes.fernández@outlook.com,47458,1987-05-30,49419,2.97,Viudo,Primaria
ND9CV,41,41,Francisca García,Valencia,Vendedor,659600205,francisca.garcía@outlook.com,46048,1988-02-26,57284,3.28,Casado,Secundaria
3B68R,28,27,Elena Álvarez,Palma,Contador,675706508,elena.álvarez@hotmail.com,43232,1989-01-22,68703,6.51,Viudo,Secundaria
9PQVZ,65,66,Esperanza Rodríguez,Alicante,Veterinario,660638929,esperanza.rodríguez@empresa.com,48176,2001-03-23,32504,4.7,Divorciado,Universidad
FO0EN,22,22,David Romero,Madrid,Dentista,682427628,david.romero@outlook.com,23165,1964-08-28,73962,9.3,Divorciado,Posgrado
49UDV,61,62,David Muñoz,Valencia,Enfermero,625918896,david.muñoz@outlook.com,39216,1962-11-05,54510,4.77,Casado,Universidad
8M9Q3,22,23,Ángel Jiménez,Hospitalet,Veterinario,651238151,ángel.jiménez@hotmail.com,24596,1994-05-08,60361,2.95,Viudo,Universidad
9FP4Q,34,36,Francisco García,Bilbao,Arquitecto,626207719,francisco.garcía@gmail.com,36029,1970-09-27,56382,1.87,Casado,Posgrado
NOGTZ,34,33,Manuel Sánchez,Terrassa,Psicólogo,694259740,manuel.sánchez@yahoo.es,48719,1989-09-12,92550,4.87,Casado,Secundaria
4E3KY,59,61,Ana Pérez,Murcia,Farmacéutico,665273766,ana.pérez@empresa.com,49453,1964-01-14,12167,9.2,Soltero,Secundaria
NJA9D,48,49,Mercedes Delgado,Hospitalet,Vendedor,673754561,mercedes.delgado@empresa.com,44583,1999-02-17,12327,6.46,Casado,Universidad
39ZBE,46,47,Antonia Vázquez,Vigo,Médico,616701568,antonia.vázquez@outlook.com,56644,1987-07-12,81185,9.8,Divorciado,Secundaria
G39SM,77,79,Luis Romero,Murcia,Mecánico,610905319,luis.romero@outlook.com,37234,2000-02-10,84471,6.85,Casado,Posgrado
QWXFL,29,28,Miguel García,Valencia,Deportista,659779013,miguel.garcía@hotmail.com,45250,1973-10-24,43382,4.85,Soltero,Secundaria
SSS5M,33,35,Esperanza Serrano,Gijón,Vendedor,614842675,esperanza.serrano@hotmail.com,39836,1961-09-14,82395,7.63,Divorciado,Secundaria
J20CT,34,36,Antonio Álvarez,Vitoria,Ingeniero,620163218,antonio.álvarez@empresa.com,42216,1953-03-29,39947,7.26,Soltero,Secundaria
XH976,36,37,Fernando Torres,Valencia,Artista,613327710,fernando.torres@gmail.com,57853,1955-08-11,74109,2.66,Divorciado,Primaria
VE0C7,54,56,Vicente Hernández,Vigo,Psicólogo,680318105,vicente.hernández@empresa.com,45856,1985-12-31,82256,9.78,Viudo,Posgrado
SUL3H,50,52,Dolores Fernández,Elche,Psicólogo,667012010,dolores.fernández@hotmail.com,38734,1998-09-26,46846,8.61,Divorciado,Posgrado
ESMZ3,65,65,Rafael Moreno,Coruña,Artista,621385968,rafael.moreno@hotmail.com,54752,1982-03-29,86127,4.46,Divorciado,Primaria
ZIWXA,57,58,Jorge Blanco,Jerez,Ingeniero,634237809,jorge.blanco@hotmail.com,49743,2000-05-16,48283,5.61,Casado,Universidad
0WPXJ,53,53,Laura Blanco,Madrid,Electricista,680935185,laura.blanco@empresa.com,53397,1965-05-17,79617,4.51,Soltero,Posgrado
AHK4M,45,43,Carmen Romero,Bilbao,Periodista,614738328,carmen.romero@yahoo.es,56638,1955-09-18,37803,5.45,Divorciado,Primaria
VFT1R,39,37,Miguel Martínez,Granada,Deportista,696534119,miguel.martínez@yahoo.es,56967,1984-06-07,58380,3.35,Viudo,Universidad
0BVHQ,35,35,Pedro Martín,Bilbao,Ingeniero,690780727,pedro.martín@hotmail.com,44856,1957-12-01,69961,9.44,Divorciado,Primaria
RBWCA,67,65,Carlos Ramírez,Elche,Arquitecto,634351151,carlos.ramírez@gmail.com,44937,1963-09-10,72047,1.06,Soltero,Secundaria
KG1SU,64,65,Laura Serrano,Jerez,Artista,639552035,laura.serrano@hotmail.com,46365,1977-11-04,24425,1.26,Divorciado,Posgrado
SBWP3,48,49,Vicente Gómez,Murcia,Conductor,664020508,vicente.gómez@empresa.com,41315,1957-05-18,24615,1.87,Soltero,Universidad
JVIWH,77,78,Isabel Ortega,Córdoba,Psicólogo,671543171,isabel.ortega@yahoo.es,49265,1959-08-19,63492,4.08,Casado,Secundaria
5XSZ1,54,54,Francisca Pérez,Zaragoza,Profesor,633309697,francisca.pérez@gmail.com,41391,1975-10-27,67454,8.43,Casado,Posgrado
RTXOI,29,27,Ángel Hernández,Elche,Músico,652868303,ángel.hernández@yahoo.es,42345,1962-01-08,16439,3.63,Divorciado,Universidad
XY3V7,30,31,María Sánchez,Madrid,Profesor,652503076,maría.sánchez@yahoo.es,49144,1987-05-20,63385,3.44,Divorciado,Universidad
SZWXQ,43,45,Antonia Rodríguez,Madrid,Farmacéutico,657691641,antonia.rodríguez@yahoo.es,57874,1969-12-26,35064,3.32,Divorciado,Secundaria
16CDF,55,53,Ramón Ruiz,Coruña,Conductor,650175458,ramón.ruiz@yahoo.es,41169,1992-06-17,86983,8.48,Viudo,Secundaria
4NN6F,33,35,José Díaz,Palma,Médico,651985589,josé.díaz@hotmail.com,30466,1984-12-25,76734,8.59,Viudo,Primaria
FWB6D,60,58,Jorge Alonso,Murcia,Enfermero,640453208,jorge.alonso@outlook.com,39756,2000-09-27,43671,7.4,Casado,Secundaria
FURB4,36,35,Concepción Hernández,Jerez,Diseñador,664329381,concepción.hernández@empresa.com,46358,1966-09-06,72251,5.34,Divorciado,Primaria
MZOUW,21,22,Concepción Ruiz,Sabadell,Periodista,648148877,concepción.ruiz@yahoo.es,22699,2005-02-18,68743,8.76,Casado,Posgrado
EI2S4,79,77,Ángel Navarro,Córdoba,Músico,657545787,ángel.navarro@outlook.com,40925,1986-03-22,14447,9.39,Divorciado,Primaria
11OVZ,52,51,Elena Romero,Barcelona,Programador,620427620,elena.romero@hotmail.com,48659,2001-01-01,90541,8.2,Divorciado,Posgrado
WA2LX,24,24,Rafael Sánchez,Málaga,Mecánico,680562237,rafael.sánchez@yahoo.es,21260,1998-06-28,96684,9.75,Viudo,Primaria
0URXS,44,46,Elena Ortega,Murcia,Periodista,656354867,elena.ortega@outlook.com,49782,1965-06-26,91764,9.82,Casado,Posgrado
Q3LAA,70,71,Lucía Torres,Bilbao,Plomero,647157279,lucía.torres@empresa.com,43103,1989-01-06,53692,3.81,Viudo,Universidad
AFQBZ,59,58,Fernando Gómez,Jerez,Psicólogo,652219854,fernando.gómez@gmail.com,47558,1956-06-17,52586,2.43,Soltero,Universidad
TEDRC,41,41,Laura Blanco,Valladolid,Mecánico,686692302,laura.blanco@gmail.com,52289,1950-09-24,40971,2.32,Casado,Primaria
YC3EH,38,40,Francisco Gómez,Granada,Veterinario,621236418,francisco.gómez@hotmail.com,48044,1966-08-25,42295,4.97,Viudo,Posgrado
2AKCI,41,39,Francisco Gil,Murcia,Enfermero,668372775,francisco.gil@outlook.com,41337,1993-01-29,53537,1.62,Viudo,Primaria
HEPLR,74,73,Concepción Ramírez,Alicante,Conductor,615653717,concepción.ramírez@yahoo.es,41508,1996-04-08,82113,7.5,Divorciado,Universidad
RVKY9,28,30,Carlos Muñoz,Murcia,Arquitecto,678032228,carlos.muñoz@yahoo.es,40441,1955-06-27,89737,3.66,Viudo,Secundaria
G5S9K,70,72,Carlos Torres,Alicante,Abogado,623857223,carlos.torres@empresa.com,41063,1966-04-13,75754,6.38,Soltero,Universidad
2FI5G,71,73,Vicente Ramírez,Jerez,Artista,621559570,vicente.ramírez@empresa.com,36481,1991-03-05,71575,1.03,Divorciado,Primaria
WZMGE,54,54,Carlos Gutiérrez,Hospitalet,Secretario,692434597,carlos.gutiérrez@empresa.com,47300,1994-09-11,81407,4.67,Viudo,Secundaria
DI7VK,36,36,Mercedes Moreno,Elche,Deportista,674851152,mercedes.moreno@hotmail.com,41846,1975-04-19,55742,3.28,Soltero,Secundaria
VGGV4,30,30,Laura Martínez,Coruña,Mecánico,623277275,laura.martínez@outlook.com,41953,1973-01-04,35156,4.62,Viudo,Primaria
5U1WB,27,27,Isabel Pérez,Valladolid,Psicólogo,660143956,isabel.pérez@yahoo.es,31568,1985-01-01,72879,3.95,Casado,Secundaria
UW9CR,47,49,Elena Martín,Elche,Plomero,611339785,elena.martín@empresa.com,56167,1984-11-12,19019,6.29,Divorciado,Universidad
K8E31,64,65,María Pérez,Cartagena,Ingeniero,650471610,maría.pérez@empresa.com,39904,1997-05-20,28853,7.44,Soltero,Posgrado
0EXJZ,68,66,Lucía Vázquez,Vitoria,Vendedor,657480191,lucía.vázquez@yahoo.es,47429,1987-06-07,78470,1.56,Divorciado,Universidad
ZJBJ3,24,26,Ángel Serrano,Sevilla,Deportista,666777419,ángel.serrano@yahoo.es,31017,1955-02-07,94156,4.43,Viudo,Secundaria
QMOJD,21,21,Francisco Jiménez,Oviedo,Deportista,695652962,francisco.jiménez@yahoo.es,22820,1965-12-21,85458,9.51,Casado,Posgrado
7X2C4,24,25,Ramón Díaz,Málaga,Ingeniero,613279387,ramón.díaz@gmail.com,37549,1953-04-30,64710,3.48,Soltero,Secundaria
X3L6O,30,31,Jesús Sánchez,Gijón,Abogado,632603280,jesús.sánchez@outlook.com,30019,1999-10-19,13757,1.51,Casado,Universidad
4ZDSJ,64,65,Elena López,Sevilla,Arquitecto,634639381,elena.lópez@gmail.com,54841,1972-10-28,30101,4.98,Viudo,Secundaria
OLC3R,67,66,Dolores Vázquez,Barcelona,Periodista,667465189,dolores.vázquez@outlook.com,43260,1958-01-02,47470,8.39,Soltero,Posgrado
S06CX,67,65,Pilar Vázquez,Sabadell,Arquitecto,667351158,pilar.vázquez@hotmail.com,49692,1996-03-31,21900,1.42,Divorciado,Primaria
8WJ7D,41,42,Carmen Delgado,Granada,Periodista,653752524,carmen.delgado@gmail.com,55336,1954-05-04,57424,7.56,Divorciado,Universidad
EA63M,80,81,Luis Ortega,Córdoba,Veterinario,653430259,luis.ortega@hotmail.com,37683,1988-03-20,58312,7.88,Soltero,Posgrado
CJNJ7,76,78,María Jiménez,Terrassa,Artista,652597545,maría.jiménez@yahoo.es,47462,2005-09-11,60258,8.18,Casado,Universidad
1HA9V,19,17,Francisca Suárez,Málaga,Ingeniero,638108658,francisca.suárez@empresa.com,33886,2001-05-13,50828,7.86,Divorciado,Universidad
NYI57,43,43,Vicente Díaz,Elche,Abogado,648585693,vicente.díaz@yahoo.es,43764,1963-08-24,51185,6.1,Divorciado,Universidad
G04YI,46,48,Rafael Navarro,Gijón,Veterinario,654053822,rafael.navarro@outlook.com,50898,1993-08-04,25802,6.52,Casado,Secundaria
UYFOH,20,19,Carlos González,Oviedo,Profesor,686339176,carlos.gonzález@gmail.com,27976,2005-06-17,54917,8.39,Viudo,Primaria
FI69S,77,75,Miguel Martín,Alicante,Mecánico,680390612,miguel.martín@gmail.com,53300,1961-06-07,25658,6.64,Soltero,Posgrado
N42IM,33,33,Francisca López,Jerez,Artista,668902157,francisca.lópez@gmail.com,39494,2004-04-06,95925,8.67,Viudo,Universidad
JXXO4,78,77,Ángeles Alonso,Alicante,Contador,686609377,ángeles.alonso@hotmail.com,49170,1995-01-09,54826,2.44,Viudo,Secundaria
39F4E,54,55,Ángel Rodríguez,Córdoba,Chef,659350852,ángel.rodríguez@empresa.com,36597,1961-05-24,19164,3.29,Viudo,Primaria
W7JCD,52,50,Dolores Navarro,Zaragoza,Farmacéutico,668308070,dolores.navarro@yahoo.es,50105,1984-12-03,98505,8.07,Divorciado,Primaria
HIMPH,32,30,José Hernández,Murcia,Secretario,659769163,josé.hernández@outlook.com,41696,1955-01-05,26589,6.55,Viudo,Primaria
JHPPV,52,51,Esperanza Ramírez,Zaragoza,Abogado,665905775,esperanza.ramírez@yahoo.es,53917,1972-03-25,50068,1.99,Casado,Universidad
SOB65,57,55,Teresa Navarro,Vitoria,Deportista,660657192,teresa.navarro@empresa.com,35526,1988-02-21,24408,4.75,Casado,Secundaria
6ZOOD,72,74,Miguel Alonso,Zaragoza,Periodista,616891735,miguel.alonso@outlook.com,49503,1960-04-06,50979,3.38,Viudo,Posgrado
Z59E5,64,65,Concepción Morales,Córdoba,Conductor,678318697,concepción.morales@outlook.com,41456,1957-06-02,75213,4.2,Soltero,Primaria
5MW3U,69,71,Luis Domínguez,Terrassa,Conductor,627697224,luis.domínguez@gmail.com,43273,1986-04-19,21734,7.64,Divorciado,Posgrado
TH6BR,25,25,Pedro Martínez,Córdoba,Farmacéutico,656117857,pedro.martínez@yahoo.es,38602,1964-07-07,65909,6.09,Casado,Universidad
TP6TM,40,41,Rafael Rodríguez,Valladolid,Contador,690311989,rafael.rodríguez@gmail.com,40156,1980-05-13,72820,9.99,Casado,Posgrado
SZVJT,58,56,Esperanza Fernández,Gijón,Chef,633004317,esperanza.fernández@gmail.com,47205,1954-08-22,43807,2.78,Soltero,Secundaria
V2WXE,68,66,Fernando Jiménez,Sevilla,Arquitecto,629708620,fernando.jiménez@gmail.com,40006,1973-01-08,48695,8.61,Soltero,Universidad
N0HO8,24,26,Jorge Ramos,Murcia,Abogado,651604447,jorge.ramos@yahoo.es,31775,1986-04-06,19979,4.1,Divorciado,Universidad
